,country,population
2,United States,331341050
15,DR Congo,90003954
25,Myanmar,54473253
27,South Korea,51276977
52,Côte d'Ivoire,26486282
53,North Korea,25798588
56,Taiwan,23824369
85,Czech Republic (Czechia),10712481
103,Hong Kong,7507523
112,Turkmenistan,6046292
116,Congo,5540555
120,State of Palestine,5121112
140,Puerto Rico,2846860
161,Réunion,896422
166,Macao,650846
169,Western Sahara,599769
175,Guadeloupe,400136
178,Martinique,375213
181,French Guiana,299958
183,New Caledonia,285972
184,French Polynesia,281191
185,Mayotte,273905
186,Sao Tome & Principe,219844
189,Channel Islands,174140
190,Guam,169031
191,Curaçao,164211
195,St. Vincent & Grenadines,111002
196,Aruba,106845
197,Tonga,105901
198,U.S. Virgin Islands,104398
201,Isle of Man,85112
204,Cayman Islands,65854
205,Bermuda,62237
207,Northern Mariana Islands,57619
208,Greenland,56787
209,American Samoa,55169
210,Saint Kitts & Nevis,53264
211,Faeroe Islands,48896
212,Sint Maarten,42960
214,Turks and Caicos,38806
215,Saint Martin,38778
218,Gibraltar,33689
219,British Virgin Islands,30266
220,Caribbean Netherlands,26265
221,Palau,18109
222,Cook Islands,17567
223,Anguilla,15026
224,Tuvalu,11817
225,Wallis & Futuna,11203
226,Nauru,10836
227,Saint Barthelemy,9882
228,Saint Helena,6080
229,Saint Pierre & Miquelon,5789
230,Montserrat,4993
231,Falkland Islands,3497
232,Niue,1628
233,Tokelau,1360
